,Completed
10522,True
10523,True
10524,True
10526,True
10527,True
10528,True
10529,True
10530,True
10531,True
10532,True
10533,True
10534,True
10535,True
10536,True
10537,True
10538,True
10539,True
10540,True
10541,True
10542,True
10543,True
10545,True
10546,True
10547,True
10548,True
10549,True
10550,True
10551,True
10552,True
10553,True
10554,True
10555,True
10557,True
10558,True
10559,True
10560,True
10561,True
10562,True
10563,True
10564,True
10565,True
10566,True
10567,True
10568,True
10569,True
10570,True
10571,True
10573,True
10574,True
10575,True
10576,True
10577,True
10578,True
10579,True
10580,True
10581,True
10582,True
10583,True
10584,True
10585,True
10586,True
10587,True
10588,True
10589,True
10590,True
10591,True
10592,True
10593,True
10594,True
10595,True
10596,True
10597,True
10598,True
10599,True
10600,True
10601,True
10602,True
10603,True
10604,True
10605,True
10606,True
10607,True
10608,True
10609,True
10610,True
10611,True
10612,True
10613,True
10614,True
10615,True
10616,True
10617,True
10618,True
10619,True
10620,True
10621,True
10622,True
10623,True
10624,True
10625,True
10626,True
10627,True
10628,True
10629,True
10630,True
10631,True
10632,True
10633,True
10634,True
10635,True
10637,True
10639,True
10640,True
10641,True
10642,True
10643,True
10646,True
10647,True
10648,True
10650,True
10651,True
10652,True
10653,True
10654,True
10655,True
10656,True
10657,True
10658,True
10659,True
10660,True
10661,True
10662,True
10663,True
10664,True
10665,True
10667,True
10668,True
10669,True
10670,True
10671,True
10672,True
10673,True
10674,True
10675,True
10676,True
10677,True
10678,True
10679,True
10680,True
10681,True
10682,True
10684,True
10685,True
10686,True
10687,True
10688,True
10689,True
10690,True
10691,True
10692,True
10693,True
10694,True
10696,True
10697,True
10699,True
10700,True
10701,True
10702,True
10703,True
10704,True
10705,True
10707,True
10710,True
10711,True
10712,True
10713,True
10714,True
10715,True
10716,True
10717,True
10718,True
10719,True
10720,True
10721,True
10722,True
10723,True
10724,True
10725,True
10726,True
10727,True
10728,True
10729,True
10730,True
10731,True
10732,True
10733,True
10734,True
10735,True
10736,True
10737,True
10738,True
10739,True
10740,True
10741,True
10742,True
10745,True
10746,True
10747,True
10748,True
10749,True
10750,True
10751,True
10752,True
10753,True
10754,True
10755,True
10756,True
10757,True
10758,True
10759,True
10760,True
10761,True
10762,True
10763,True
10764,True
10765,True
10766,True
10767,True
10768,True
10769,True
10770,True
10771,True
10772,True
10773,True
10775,True
10776,True
10777,True
10778,True
10779,True
10780,True
10781,True
10782,True
10783,True
10784,True
10785,True
10786,True
10787,True
10788,True
10789,True
10790,True
10791,True
10792,True
10793,True
10794,True
10795,True
10796,True
10797,True
10799,True
10800,True
10801,True
10802,True
10803,True
10804,True
10806,True
10807,True
10808,True
10809,True
10810,True
10811,True
10812,True
10813,True
10814,True
10816,True
10817,True
10818,True
10819,True
10820,True
10821,True
10822,True
10823,True
10824,True
10825,True
10826,True
10827,True
10828,True
10829,True
10833,True
10834,True
10835,True
10836,True
10837,True
10838,True
10839,True
10840,True
10841,True
10842,True
10844,True
10845,True
10846,True
10849,True
10850,True
10851,True
10852,True
10853,True
10854,True
10855,True
10857,True
10858,True
10859,True
10860,True
10861,True
10862,True
10863,True
10864,True
10865,True
10866,True
10867,True
10868,True
10869,True
10870,True
10871,True
10872,True
10873,True
10874,True
10875,True
10876,True
10877,True
10878,True
10879,True
10881,True
10882,True
10883,True
10884,True
10885,True
10887,True
10888,True
10889,True
10890,True
10891,True
10892,True
10893,True
10894,True
10895,True
10896,True
10897,True
10898,True
10899,True
10900,True
10901,True
10902,True
10903,True
10904,True
10905,True
10906,True
10907,True
10908,True
10909,True
10910,True
10911,True
10912,True
10913,True
10914,True
10915,True
10916,True
10917,True
10918,True
10919,True
10920,True
10922,True
10923,True
10925,True
10926,True
10927,True
10928,True
10930,True
10931,True
10932,True
10933,True
10934,True
10935,True
10936,True
10937,True
10938,True
10939,True
10940,True
10941,True
10942,True
10943,True
10944,True
10945,True
10946,True
10947,True
10948,True
10949,True
10950,True
10951,True
10952,True
10953,True
10954,True
10955,True
10956,True
10958,True
10959,True
10960,True
10961,True
10962,True
10964,True
10965,True
10967,True
10968,True
10969,True
10970,True
10972,True
10973,True
10974,True
10975,True
10976,True
10977,True
10978,True
10979,True
10980,True
10981,True
10982,True
10983,True
10984,True
10985,True
10986,True
10987,True
10988,True
10989,True
10990,True
10991,True
10992,True
10993,True
10994,True
10995,True
10996,True
10997,True
10998,True
10999,True
11000,True
11001,True
11002,True
11003,True
11004,True
11006,True
11007,True
11008,True
11009,True
11010,True
11011,True
11012,True
11013,True
11015,True
11016,True
11017,True
11018,True
11019,True
11020,True
11021,True
11022,True
11023,True
11024,True
11025,True
11026,True
11027,True
11028,True
11029,True
11030,True
11031,True
11032,True
11033,True
11034,True
11035,True
11036,True
11037,True
11038,True
11039,True
11040,True
11041,True
11042,True
11043,True
11044,True
11045,True
11046,True
11047,True
11048,True
11050,True
11051,True
11052,True
11053,True
11054,True
11055,True
11056,True
11057,True
11058,True
11059,True
11060,True
11061,True
11062,True
11063,True
11064,True
11065,True
11066,True
11067,True
11068,True
11069,True
11070,True
11071,True
11072,True
11073,True
11074,True
11075,True
11076,True
11077,True
11078,True
11079,True
11080,True
11081,True
11082,True
11083,True
11084,True
11085,True
11086,True
11087,True
11088,True
11089,True
11090,True
11091,True
11092,True
11093,True
11094,True
11095,True
11096,True
11097,True
11098,True
11099,True
11100,True
11101,True
11102,True
11103,True
11104,True
11105,True
11106,True
11107,True
11108,True
11109,True
11110,True
11111,True
11112,True
11113,True
11114,True
11115,True
11116,True
11117,True
11118,True
11120,True
11121,True
11122,True
11123,True
11124,True
11125,True
11126,True
11127,True
11128,True
11129,True
11130,True
11131,True
11132,True
11133,True
11134,True
11135,True
11136,True
11137,True
11138,True
11139,True
11140,True
11141,True
11142,True
11143,True
11144,True
11145,True
11146,True
11147,True
11148,True
11149,True
11150,True
11151,True
11152,True
11153,True
11154,True
11155,True
11156,True
11157,True
11158,True
11159,True
11160,True
11161,True
11162,True
11163,True
11164,True
11165,True
11166,True
11167,True
11168,True
11169,True
11170,True
11171,True
11172,True
11173,True
11174,True
11175,True
11176,True
11177,True
11178,True
11179,True
11180,True
11181,True
11182,True
11183,True
11184,True
11185,True
11186,True
11187,True
11189,True
11190,True
11191,True
11192,True
11193,True
11194,True
11195,True
11196,True
11197,True
11198,True
11199,True
11200,True
11202,True
11204,True
11205,True
11206,True
11207,True
11208,True
11209,True
11210,True
11211,True
11212,True
11213,True
11214,True
11215,True
11216,True
11217,True
11218,True
11220,True
11221,True
11222,True
11223,True
11224,True
11225,True
11226,True
11227,True
11228,True
11229,True
11230,True
11231,True
11232,True
11233,True
11235,True
11236,True
11237,True
11238,True
11239,True
11240,True
11241,True
11242,True
11243,True
11244,True
11245,True
11246,True
11247,True
11248,True
11249,True
11250,True
11251,True
11252,True
11253,True
11254,True
11255,True
11256,True
11257,True
11258,True
11259,True
11260,True
11261,True
11262,True
11263,True
11264,True
11265,True
11266,True
11267,True
11268,True
11269,True
11270,True
11271,True
11272,True
11274,True
11275,True
11276,True
11277,True
11278,True
11279,True
11280,True
11281,True
11282,True
11283,True
11284,True
11285,True
11286,True
11287,True
11288,True
11289,True
11290,True
11292,True
11293,True
11294,True
11295,True
11296,True
11297,True
11298,True
11299,True
11300,True
11301,True
11302,True
11303,True
11304,True
11305,True
11306,True
11307,True
11308,True
11309,True
11310,True
11311,True
11313,True
11314,True
11315,True
11316,True
11317,True
11318,True
11319,True
11320,True
11322,True
11323,True
11324,True
11325,True
11326,True
11327,True
11328,True
11330,True
11331,True
11332,True
11333,True
11334,True
11335,True
11336,True
11337,True
11339,True
11340,True
11341,True
11342,True
11343,True
11344,True
11345,True
11346,True
11347,True
11348,True
11349,True
11350,True
11351,True
11352,True
11353,True
11354,True
11355,True
11356,True
11357,True
11358,True
11359,True
11360,True
11361,True
11362,True
11363,True
11364,True
11365,True
11367,True
11368,True
11369,True
11370,True
11371,True
11372,True
11373,True
11374,True
11375,True
11376,True
11377,True
11378,True
11379,True
11380,True
11381,True
11382,True
11384,True
11385,True
11386,True
11387,True
11388,True
11389,True
11390,True
11391,True
11392,True
11393,True
11394,True
11395,True
11396,True
11397,True
11398,True
11399,True
11400,True
11402,True
11404,True
11405,True
11406,True
11407,True
11408,True
11409,True
11410,True
11411,True
11412,True
11413,True
11415,True
11416,True
11417,True
11418,True
11419,True
11420,True
11422,True
11423,True
11424,True
11425,True
11426,True
11427,True
11428,True
11429,True
11430,True
11431,True
11432,True
11433,True
11434,True
11435,True
11436,True
11437,True
11438,True
11439,True
11440,True
11441,True
11442,True
11443,True
11444,True
11445,True
11446,True
11448,True
11449,True
11450,True
11451,True
11452,True
11453,True
11455,True
11456,True
11457,True
11458,True
11459,True
11460,True
11461,True
11462,True
11464,True
11465,True
11467,True
11469,True
11470,True
11471,True
11472,True
11473,True
11475,True
11476,True
11477,True
11478,True
11479,True
11480,True
11481,True
11482,True
11483,True
11484,True
11485,True
11486,True
11487,True
11488,True
11489,True
11490,True
11491,True
11492,True
11493,True
11494,True
11495,True
11497,True
11498,True
11499,True
11500,True
11501,True
11502,True
11503,True
11504,True
11505,True
11506,True
11507,True
11508,True
11509,True
11510,True
11511,True
11512,True
11513,True
11514,True
11516,True
11517,True
11518,True
11519,True
11520,True
11521,True
11523,True
11524,True
11525,True
11526,True
11527,True
11528,True
11529,True
11530,True
11531,True
11532,True
11533,True
11535,True
11536,True
11537,True
11538,True
11539,True
11540,True
11541,True
11542,True
11543,True
11545,True
11546,True
11547,True
11548,True
11549,True
11550,True
11551,True
11552,True
11554,True
11555,True
11556,True
11558,True
11559,True
11560,True
11561,True
11562,True
11563,True
11564,True
11566,True
11567,True
11568,True
11569,True
11570,True
11571,True
11572,True
11573,True
11575,True
11576,True
11577,True
11578,True
11579,True
11580,True
11581,True
11582,True
11583,True
11584,True
11585,True
11586,True
11587,True
11588,True
11589,True
11590,True
11591,True
11592,True
11593,True
11594,True
11595,True
11597,True
11598,True
11599,True
11600,True
11602,True
11605,True
11606,True
11608,True
11609,True
11610,True
11611,True
11612,True
11613,True
11615,True
11616,True
11617,True
11620,True
11621,True
11622,True
11623,True
11624,True
11625,True
11626,True
11627,True
11628,True
11629,True
11630,True
11631,True
11633,True
11634,True
11635,True
11636,True
11637,True
11638,True
11640,True
11641,True
11642,True
11643,True
11644,True
11645,True
11646,True
11647,True
11648,True
11649,True
11650,True
11651,True
11652,True
11653,True
11654,True
11655,True
11656,True
11657,True
11658,True
11659,True
11660,True
11662,True
11663,True
11664,True
11665,True
11666,True
11667,True
11668,True
11669,True
11670,True
11671,True
11672,True
11673,True
11674,True
11675,True
11676,True
11678,True
11680,True
11681,True
11682,True
11684,True
11685,True
11686,True
11687,True
11688,True
11689,True
11690,True
11691,True
11692,True
11693,True
11694,True
11695,True
11696,True
11697,True
11699,True
11700,True
11701,True
11702,True
11703,True
11704,True
11705,True
11706,True
11707,True
11708,True
11709,True
11710,True
11711,True
11712,True
11714,True
11715,True
11716,True
11717,True
11718,True
11719,True
11720,True
11721,True
11722,True
11723,True
11724,True
11725,True
11726,True
11727,True
11728,True
11729,True
11730,True
11731,True
11732,True
11734,True
11735,True
11736,True
11738,True
11739,True
11740,True
11741,True
11742,True
11743,True
11744,True
11745,True
11746,True
11747,True
11748,True
11749,True
11750,True
11751,True
11752,True
11753,True
11754,True
11755,True
11756,True
11757,True
11758,True
11759,True
11760,True
11761,True
11762,True
11763,True
11764,True
11765,True
11766,True
11767,True
11768,True
11769,True
11770,True
11771,True
11772,True
11773,True
11774,True
11775,True
11776,True
11778,True
11779,True
11780,True
11781,True
11782,True
11783,True
11784,True
11785,True
11786,True
11787,True
11788,True
11789,True
11790,True
11791,True
11792,True
11793,True
11794,True
11795,True
11796,True
11797,True
11798,True
11799,True
11800,True
11801,True
11802,True
11803,True
11804,True
11805,True
11807,True
11808,True
11809,True
11810,True
11811,True
11812,True
11813,True
11814,True
11815,True
11816,True
11817,True
11818,True
11819,True
11820,True
11821,True
11822,True
11823,True
11824,True
11825,True
11826,True
11827,True
11828,True
11829,True
11830,True
11831,True
11833,True
11834,True
11835,True
11836,True
11837,True
11838,True
11839,True
11840,True
11841,True
11842,True
11843,True
11844,True
11845,True
11846,True
11847,True
11848,True
11850,True
11852,True
11853,True
11854,True
11855,True
11856,True
11857,True
11858,True
11859,True
11860,True
11861,True
11862,True
11863,True
11865,True
11866,True
11867,True
11868,True
11869,True
11870,True
11872,True
11873,True
11874,True
11875,True
11876,True
11877,True
11878,True
11879,True
11880,True
11881,True
11882,True
11883,True
11885,True
11886,True
11887,True
11888,True
11889,True
11890,True
11891,True
11892,True
11893,True
11894,True
11895,True
11896,True
11897,True
11898,True
11900,True
11902,True
11903,True
11904,True
11905,True
11906,True
11907,True
11908,True
11909,True
11910,True
11911,True
11912,True
11913,True
11914,True
11915,True
11916,True
11917,True
11918,True
11919,True
11920,True
11921,True
11922,True
11924,True
11925,True
11926,True
11927,True
11928,True
11930,True
11931,True
11932,True
11933,True
11934,True
11935,True
11936,True
11937,True
11938,True
11939,True
11940,True
11941,True
11942,True
11943,True
11944,True
11945,True
11946,True
11947,True
11948,True
11949,True
11950,True
11951,True
11952,True
11953,True
11954,True
11955,True
11956,True
11957,True
11958,True
11959,True
11960,True
11961,True
11962,True
11963,True
11964,True
11965,True
11966,True
11967,True
11968,True
11969,True
11970,True
11971,True
11972,True
11973,True
11974,True
11975,True
11976,True
11977,True
11978,True
11979,True
11981,True
11982,True
11983,True
11984,True
11985,True
11987,True
11988,True
11989,True
11990,True
11991,True
11992,True
11993,True
11994,True
11995,True
11996,True
11997,True
11998,True
11999,True
12000,True
12001,True
12003,True
12004,True
12005,True
12006,True
12007,True
12008,True
12009,True
12011,True
12012,True
12013,True
12014,True
12015,True
12016,True
12017,True
12018,True
12019,True
12020,True
12021,True
12022,True
12023,True
12024,True
12025,True
12026,True
12027,True
12028,True
12029,True
12030,True
12031,True
12032,True
12033,True
12034,True
12035,True
12036,True
12037,True
12038,True
12039,True
12040,True
12041,True
12043,True
12044,True
12045,True
12046,True
12047,True
12049,True
12050,True
12051,True
12052,True
12053,True
12054,True
12055,True
12056,True
12057,True
12058,True
12059,True
12060,True
12061,True
12062,True
12063,True
12064,True
12066,True
12067,True
12068,True
12069,True
12070,True
12071,True
12072,True
12073,True
12075,True
12076,True
12077,True
12078,True
12079,True
12081,True
12082,True
12083,True
12084,True
12085,True
12086,True
12087,True
12088,True
12089,True
12090,True
12091,True
12092,True
12093,True
12094,True
12095,True
12096,True
12097,True
12098,True
12099,True
12101,True
12103,True
12104,True
12105,True
12106,True
12107,True
12108,True
12109,True
12110,True
12111,True
12112,True
12113,True
12114,True
12116,True
12117,True
12118,True
12119,True
12120,True
12121,True
12122,True
12123,True
12124,True
12126,True
12127,True
12128,True
12129,True
12130,True
12131,True
12132,True
12133,True
12134,True
12135,True
12136,True
12137,True
12138,True
12139,True
12140,True
12141,True
12142,True
12143,True
12144,True
12145,True
12146,True
12147,True
12148,True
12149,True
12150,True
12151,True
12152,True
12154,True
12155,True
12156,True
12157,True
12158,True
12159,True
12160,True
12161,True
12162,True
12163,True
12164,True
12165,True
12166,True
12167,True
12168,True
12169,True
12170,True
12171,True
12172,True
12173,True
12175,True
12176,True
12177,True
12179,True
12180,True
12181,True
12182,True
12183,True
12184,True
12185,True
12186,True
12187,True
12188,True
12189,True
12190,True
12191,True
12193,True
12194,True
12195,True
12196,True
12197,True
12198,True
12199,True
12200,True
12202,True
12203,True
12204,True
12205,True
12206,True
12207,True
12208,True
12209,True
12212,True
12213,True
12214,True
12215,True
12216,True
12217,True
12218,True
12219,True
12220,True
12221,True
12222,True
12223,True
12224,True
12225,True
12226,True
12228,True
12229,True
12231,True
12232,True
12233,True
12234,True
12235,True
12236,True
12238,True
12239,True
12240,True
12241,True
12242,True
12243,True
12244,True
12245,True
12246,True
12247,True
12248,True
12249,True
12250,True
12251,True
12252,True
12253,True
12256,True
12257,True
12258,True
12259,True
12260,True
12262,True
12263,True
12264,True
12265,True
12268,True
12269,True
12272,True
12275,True
12276,True
12277,True
12278,True
12279,True
12280,True
12281,True
12282,True
12283,True
12284,True
12285,True
12286,True
12288,True
12289,True
12290,True
12291,True
12292,True
12293,True
12294,True
12295,True
12296,True
12297,True
12298,True
12299,True
12300,True
12301,True
12302,True
12303,True
12304,True
12305,True
12307,True
12308,True
12309,True
12311,True
12312,True
12313,True
12314,True
12315,True
12316,True
12317,True
12319,True
12320,True
12321,True
12322,True
12323,True
12324,True
12325,True
12326,True
12327,True
12329,True
12330,True
12331,True
12332,True
12333,True
12334,True
12336,True
12337,True
12338,True
12339,True
12340,True
12341,True
12342,True
12343,True
12344,True
12345,True
12346,True
12348,True
12349,True
12350,True
12351,True
12352,True
12353,True
12354,True
12355,True
12356,True
12358,True
12359,True
12360,True
12361,True
12362,True
12366,True
12367,True
12368,True
12369,True
12370,True
12371,True
12372,True
12373,True
12374,True
12375,True
12376,True
12379,True
12380,True
12383,True
12384,True
12386,True
12387,True
12389,True
12390,True
12391,True
12392,True
12393,True
12395,True
12396,True
12397,True
12398,True
12399,True
12400,True
12401,True
12402,True
12403,True
12404,True
12405,True
12406,True
12407,True
12408,True
12409,True
12410,True
12412,True
12413,True
12414,True
12415,True
12416,True
12417,True
12418,True
12419,True
12420,True
12421,True
12423,True
12424,True
12425,True
12427,True
12428,True
12429,True
12430,True
12431,True
12432,True
12433,True
12434,True
12436,True
12437,True
12438,True
12439,True
12440,True
12441,True
12442,True
12443,True
12444,True
12445,True
12446,True
12447,True
12448,True
12450,True
12451,True
12452,True
12455,True
12456,True
12457,True
12459,True
12460,True
12461,True
12462,True
12463,True
12464,True
12465,True
12466,True
12467,True
12468,True
12469,True
12470,True
12471,True
12472,True
12474,True
12475,True
12476,True
12478,True
12479,True
12480,True
12481,True
12482,True
12483,True
12485,True
12486,True
12487,True
12488,True
12489,True
12490,True
12492,True
12493,True
12494,True
12495,True
12496,True
12498,True
12499,True
12500,True
12501,True
12502,True
12503,True
12504,True
12505,True
12506,True
12507,True
12508,True
12509,True
12510,True
12511,True
12512,True
12513,True
12514,True
12515,True
12516,True
12517,True
12518,True
12519,True
12520,True
12521,True
12522,True
12523,True
12524,True
12525,True
12526,True
12527,True
12528,True
12529,True
12530,True
12531,True
12532,True
12533,True
12534,True
12535,True
12536,True
12537,True
12538,True
12539,True
12540,True
12541,True
12542,True
12543,True
12545,True
12548,True
12549,True
12550,True
12552,True
12553,True
12554,True
12555,True
12556,True
12557,True
12558,True
12559,True
12560,True
12561,True
12562,True
12563,True
12564,True
12565,True
12566,True
12567,True
12568,True
12569,True
12571,True
12572,True
12573,True
12574,True
12576,True
12577,True
12578,True
12580,True
12581,True
12582,True
12583,True
12584,True
12585,True
12587,True
12588,True
12589,True
12590,True
12591,True
12592,True
12593,True
12594,True
12595,True
12596,True
12597,True
12598,True
12599,True
12600,True
12601,True
12602,True
12603,True
12605,True
12606,True
12608,True
12610,True
12611,True
12612,True
12613,True
12614,True
12616,True
12617,True
12618,True
12619,True
12620,True
12622,True
12623,True
12624,True
12625,True
12626,True
12628,True
12629,True
12630,True
12631,True
12632,True
12633,True
12634,True
12635,True
12636,True
12637,True
12638,True
12639,True
12640,True
12641,True
12642,True
12643,True
12644,True
12645,True
12646,True
12647,True
12648,True
12650,True
12651,True
12652,True
12653,True
12654,True
12655,True
12656,True
12657,True
12659,True
12660,True
12661,True
12662,True
12663,True
12664,True
12667,True
12668,True
12669,True
12670,True
12671,True
12672,True
12673,True
12674,True
12675,True
12676,True
12677,True
12678,True
12679,True
12680,True
12681,True
12682,True
12683,True
12684,True
12685,True
12686,True
12688,True
12689,True
12690,True
12691,True
12692,True
12693,True
12694,True
12696,True
12697,True
12698,True
12699,True
12700,True
12701,True
12702,True
12704,True
12705,True
12706,True
12707,True
12708,True
12709,True
12710,True
12711,True
12712,True
12713,True
12714,True
12715,True
12716,True
12717,True
12719,True
12720,True
12722,True
12723,True
12724,True
12725,True
12726,True
12728,True
12729,True
12730,True
12731,True
12732,True
12733,True
12734,True
12735,True
12736,True
12738,True
12739,True
12740,True
12741,True
12742,True
12743,True
12744,True
12745,True
12746,True
12747,True
12748,True
12749,True
12751,True
12752,True
12753,True
12754,True
12755,True
12756,True
12757,True
12758,True
12759,True
12761,True
12762,True
12764,True
12765,True
12766,True
12768,True
12769,True
12770,True
12771,True
12772,True
12773,True
12774,True
12775,True
12776,True
12777,True
12778,True
12779,True
12780,True
12781,True
12782,True
12783,True
12784,True
12785,True
12786,True
12787,True
12788,True
12789,True
12790,True
12791,True
12792,True
12793,True
12794,True
12795,True
12796,True
12797,True
12798,True
12799,True
12800,True
12801,True
12802,True
12803,True
12804,True
12805,True
12806,True
12807,True
12808,True
12809,True
12810,True
12811,True
12812,True
12813,True
12814,True
12815,True
12817,True
12818,True
12819,True
12820,True
12821,True
12824,True
12827,True
12828,True
12829,True
12830,True
12831,True
12833,True
12834,True
12837,True
12838,True
12839,True
12840,True
12841,True
12842,True
12843,True
12844,True
12845,True
12847,True
12848,True
12849,True
12850,True
12852,True
12853,True
12854,True
12855,True
12856,True
12857,True
12858,True
12859,True
12860,True
12861,True
12862,True
12863,True
12864,True
12865,True
12866,True
12867,True
12869,True
12870,True
12871,True
12873,True
12874,True
12875,True
12876,True
12877,True
12878,True
12879,True
12880,True
12881,True
12882,True
12883,True
12885,True
12886,True
12887,True
12888,True
12889,True
12890,True
12891,True
12892,True
12893,True
12894,True
12895,True
12896,True
12897,True
12898,True
12899,True
12900,True
12901,True
12902,True
12903,True
12904,True
12905,True
12906,True
12907,True
12910,True
12911,True
12912,True
12914,True
12915,True
12916,True
12917,True
12918,True
12919,True
12920,True
12921,True
12922,True
12923,True
12924,True
12925,True
12926,True
12927,True
12928,True
12929,True
12931,True
12932,True
12934,True
12935,True
12937,True
12938,True
12939,True
12940,True
12941,True
12942,True
12943,True
12944,True
12945,True
12947,True
12948,True
12949,True
12950,True
12951,True
12952,True
12953,True
12954,True
12955,True
12956,True
12957,True
12959,True
12960,True
12961,True
12962,True
12963,True
12965,True
12966,True
12968,True
12969,True
12970,True
12971,True
12972,True
12973,True
12974,True
12975,True
12976,True
12977,True
12978,True
12979,True
12980,True
12981,True
12982,True
12983,True
12984,True
12985,True
12986,True
12987,True
12988,True
12989,True
12990,True
12991,True
12992,True
12993,True
12994,True
12995,True
12996,True
12997,True
12998,True
12999,True
13000,True
13001,True
13002,True
13003,True
13004,True
13005,True
13006,True
13007,True
13008,True
13009,True
13010,True
13011,True
13012,True
13013,True
13014,True
13016,True
13017,True
13018,True
13019,True
13020,True
13021,True
13022,True
13024,True
13025,True
13026,True
13027,True
13028,True
13030,True
13031,True
13033,True
13034,True
13035,True
13036,True
13038,True
13040,True
13041,True
13042,True
13043,True
13044,True
13045,True
13046,True
13047,True
13048,True
13049,True
13050,True
13051,True
13052,True
13053,True
13054,True
13055,True
13056,True
13057,True
13058,True
13059,True
13060,True
13061,True
13062,True
13063,True
13064,True
13065,True
13066,True
13067,True
13068,True
13069,True
13070,True
13071,True
13072,True
13073,True
13074,True
13075,True
13077,True
13078,True
13081,True
13082,True
13083,True
13084,True
13085,True
13086,True
